stock_code,trade_date,close_price,prev_close,prev_date,pct_chg,gap_days,adjust_factor,coverage_ratio
4950.TWO,2024-09-05,7.32,21.0,2023-05-31,-0.651429,463,0.3485714285714286,0.6778783958602846
4950.TWO,2025-11-11,26.3,10.3,2025-11-03,1.553398,8,2.553398058252427,0.6778783958602846
4961.TW,2023-09-18,258.5,156.5,2023-09-06,0.651757,12,1.6517571884984026,0.8094006037084951
4994.TW,2023-10-11,60.2,40.95,2023-09-26,0.470085,15,1.47008547008547,0.9969814575247952
5227.TWO,2020-06-22,17.9,10.0,2020-06-10,0.79,12,1.7899999999999998,0.9879258300991808
5227.TWO,2021-06-28,19.0,10.7,2021-06-16,0.775701,12,1.7757009345794394,0.9879258300991808
5227.TWO,2021-12-13,73.4,43.5,2021-12-01,0.687356,12,1.6873563218390806,0.9879258300991808
5301.TWO,2020-08-28,14.75,9.98,2020-08-19,0.477956,9,1.4779559118236472,0.9844760672703752
5301.TWO,2025-11-12,13.4,6.41,2025-11-04,1.090484,8,2.090483619344774,0.9844760672703752
5309.TWO,2018-10-03,8.95,6.66,2018-09-25,0.343844,8,1.3438438438438438,0.9978438982319966
5310.TWO,2021-12-30,35.0,15.95,2021-12-22,1.194357,8,2.19435736677116,0.973695558430358
5314.TWO,2022-12-02,19.9,4.78,2022-11-23,3.16318,9,4.163179916317991,0.9538594221647262
5314.TWO,2025-03-31,75.8,1390.0,2025-03-19,-0.945468,12,0.0545323741007194,0.9538594221647262
5345.TWO,2019-10-01,7.09,3.93,2019-09-19,0.804071,12,1.8040712468193385,0.926261319534282
5348.TWO,2024-09-30,26.2,13.5,2024-09-18,0.940741,12,1.9407407407407409,0.8753773178094006
5381.TWO,2018-01-15,7.11,4.99,2018-01-03,0.42485,12,1.4248496993987976,0.9646399310047434
5468.TWO,2019-10-07,14.15,3.95,2019-09-25,2.582278,12,3.5822784810126582,0.9279862009486848
5475.TWO,2017-04-25,5.56,4.13,2017-04-12,0.346247,13,1.3462469733656173,0.9935316946959896
5475.TWO,2021-04-19,8.64,5.5,2021-04-07,0.570909,12,1.570909090909091,0.9935316946959896
5481.TWO,2024-09-02,23.45,13.45,2024-03-29,0.743494,157,1.7434944237918215,0.6942647692971108
5484.TW,2019-09-23,9.51,5.42,2019-09-11,0.754613,12,1.7546125461254611,0.9935316946959896
5484.TW,2021-11-08,18.5,13.8,2021-10-27,0.34058,12,1.3405797101449275,0.9935316946959896
5529.TWO,2019-11-11,8.76,6.52,2019-10-30,0.343558,12,1.343558282208589,0.9918068132815868
5529.TWO,2023-09-25,20.2,11.25,2023-09-13,0.795556,12,1.7955555555555556,0.9918068132815868
5608.TW,2019-02-25,10.4,7.21,2019-02-14,0.442441,11,1.4424410540915396,0.9974126778783958
5701.TWO,2023-04-26,8.55,3.62,2023-04-18,1.361878,8,2.361878453038674,0.9956877964639932
5906.TW,2018-06-19,20.3,10.95,2018-06-06,0.853881,13,1.853881278538813,0.9271237602414834
6121.TWO,2017-09-28,162.5,107.0,2017-09-13,0.518692,15,1.5186915887850467,0.9956877964639932
6134.TWO,2021-01-18,18.85,12.3,2021-01-06,0.53252,12,1.532520325203252,0.9961190168175936
6138.TWO,2018-10-01,72.3,53.6,2018-09-19,0.348881,12,1.3488805970149254,0.9974126778783958
6144.TWO,2020-09-21,12.8,6.12,2020-09-09,1.091503,12,2.0915032679738563,0.8244933160845191
6148.TWO,2018-10-01,8.74,6.46,2018-09-19,0.352941,12,1.3529411764705883,0.9939629150495904
6158.TWO,2019-10-07,36.7,24.75,2019-09-27,0.482828,10,1.482828282828283,0.9978438982319966
6169.TWO,2019-10-07,18.6,12.55,2019-09-25,0.482072,12,1.4820717131474104,0.9965502371711944
6219.TWO,2023-07-11,21.5,13.45,2023-07-03,0.598513,8,1.5985130111524164,0.9935316946959896
6222.TWO,2020-01-17,15.1,10.7,2020-01-08,0.411215,9,1.411214953271028,0.8702026735661923
6225.TW,2021-07-26,11.0,4.2,2021-07-14,1.619048,12,2.619047619047619,0.8969383354894351
6243.TW,2021-11-04,51.6,22.75,2021-10-27,1.268132,8,2.268131868131868,0.9978438982319966
6244.TWO,2020-09-28,37.3,24.5,2020-09-16,0.522449,12,1.5224489795918366,0.9969814575247952
6259.TWO,2020-09-21,15.55,2.34,2020-09-09,5.645299,12,6.645299145299146,0.9271237602414834
6271.TW,2020-11-30,198.5,139.0,2020-11-18,0.428058,12,1.4280575539568343,0.9844760672703752
6291.TWO,2017-09-15,4.8,2.91,2017-09-01,0.649485,14,1.649484536082474,0.8848641655886158
6291.TWO,2019-03-11,15.0,5.26,2019-02-25,1.851711,14,2.8517110266159698,0.8848641655886158
6291.TWO,2022-09-26,101.0,64.2,2022-09-14,0.573209,12,1.5732087227414329,0.8848641655886158
6443.TW,2019-07-01,9.28,6.12,2019-06-20,0.51634,11,1.5163398692810457,0.9974126778783958
6548.TWO,2022-09-05,36.65,90.6,2022-08-24,-0.595475,12,0.4045253863134658,0.9935316946959896
6613.TWO,2022-08-29,92.0,169.0,2022-08-17,-0.455621,12,0.5443786982248521,0.8930573523070289
8040.TWO,2019-10-21,15.3,11.3,2019-10-07,0.353982,14,1.3539823008849556,0.9965502371711944
8067.TWO,2017-12-06,8.4,5.4,2017-11-28,0.555556,8,1.5555555555555556,0.894351013367831
8067.TWO,2023-03-01,14.15,8.88,2023-02-15,0.593468,14,1.5934684684684683,0.894351013367831
8080.TWO,2021-01-11,10.7,3.9,2020-12-29,1.74359,13,2.743589743589744,0.7442863303147909
8080.TWO,2022-02-14,16.3,9.03,2022-01-25,0.805094,20,1.8050941306755264,0.7442863303147909
8091.TWO,2017-12-15,130.0,93.6,2017-12-06,0.388889,9,1.388888888888889,0.9969814575247952
8093.TWO,2022-09-05,10.8,8.03,2022-08-24,0.344956,12,1.3449564134495644,0.9905131522207848
8093.TWO,2026-01-12,20.8,13.0,2025-12-30,0.6,13,1.6,0.9905131522207848
8101.TW,2018-09-03,4.27,2.37,2018-08-24,0.801688,10,1.80168776371308,0.7158257869771453
8101.TW,2023-01-03,5.95,2.38,2022-04-29,1.5,249,2.5,0.7158257869771453
8101.TW,2024-11-19,10.45,3.86,2024-03-29,1.707254,235,2.7072538860103625,0.7158257869771453
8906.TWO,2019-01-14,16.4,10.7,2019-01-02,0.53271,12,1.5327102803738315,0.9292798620094868
8932.TWO,2024-09-09,82.8,169.5,2024-08-28,-0.511504,12,0.4884955752212389,0.977576541612764
8932.TWO,2026-03-09,89.8,199.5,2026-02-24,-0.549875,13,0.450125313283208,0.977576541612764
8933.TWO,2019-12-23,6.88,4.38,2019-12-11,0.570776,12,1.5707762557077625,0.9961190168175936
8935.TWO,2017-11-06,9.72,7.03,2017-10-23,0.382646,14,1.3826458036984353,0.9939629150495904
9945.TW,2018-10-08,50.5,35.75,2018-09-26,0.412587,12,1.4125874125874125,0.9939629150495904
